Student_ID,Study_Hours,Attendance,Assignment_Score,Previous_Marks,Final_Marks,Result
STD001,4.4,90.4,96.4,58.3,87.1,Pass
STD002,9.6,94.8,97.2,73.6,100.0,Pass
STD003,7.6,65.9,94.9,62.5,98.5,Pass
STD004,6.4,55.5,62.2,67.7,71.8,Pass
STD005,2.4,61.4,40.9,91.5,69.5,Pass
STD006,2.4,71.4,95.7,58.2,67.9,Pass
STD007,1.5,90.9,65.7,92.7,85.3,Pass
STD008,8.8,93.0,98.0,89.3,100.0,Pass
STD009,6.4,50.3,97.8,46.7,69.9,Pass
STD010,7.4,75.5,91.2,39.2,77.4,Pass
STD011,1.2,70.9,57.7,41.0,37.8,Fail
STD012,9.7,61.1,63.1,36.1,76.7,Pass
STD013,8.5,56.0,91.1,40.7,76.7,Pass
STD014,2.9,66.9,59.0,76.0,67.5,Pass
STD015,2.6,97.1,50.2,39.3,60.2,Pass
STD016,2.7,66.2,73.4,54.1,70.3,Pass
STD017,3.7,75.9,96.2,85.7,87.8,Pass
STD018,5.7,85.2,81.8,36.4,70.3,Pass
STD019,4.9,68.2,74.2,83.9,76.4,Pass
STD020,3.6,98.6,45.8,51.9,68.8,Pass
STD021,6.5,98.1,76.9,42.1,74.0,Pass
STD022,2.3,62.6,99.4,76.8,80.8,Pass
STD023,3.6,74.9,48.4,72.7,74.1,Pass
STD024,4.3,65.0,71.1,87.6,76.0,Pass
STD025,5.1,64.2,92.6,79.1,74.1,Pass
STD026,8.1,51.8,84.4,83.2,98.1,Pass
STD027,2.8,80.5,81.8,51.9,65.3,Pass
STD028,5.6,75.1,82.1,45.6,79.7,Pass
STD029,6.3,52.6,61.6,80.0,70.7,Pass
STD030,1.4,63.9,57.6,83.4,59.3,Pass
STD031,6.5,95.4,88.6,94.4,100.0,Pass
STD032,2.5,62.0,88.6,59.8,64.4,Pass
STD033,1.6,57.2,92.0,57.3,56.9,Pass
STD034,9.5,74.5,94.8,81.6,100.0,Pass
STD035,9.7,99.3,70.7,55.4,91.8,Pass
STD036,8.3,62.1,70.1,90.8,93.8,Pass
STD037,3.7,83.6,87.9,86.5,84.2,Pass
STD038,1.9,88.1,79.0,60.7,69.2,Pass
STD039,7.2,61.9,82.1,80.1,92.3,Pass
STD040,5.0,86.4,87.7,80.3,81.6,Pass
STD041,2.1,68.4,93.4,41.2,50.9,Pass
STD042,5.5,81.6,60.3,89.2,92.1,Pass
STD043,1.3,81.7,62.5,65.3,62.6,Pass
STD044,9.2,76.8,45.6,84.6,91.0,Pass
STD045,3.3,54.5,74.7,54.2,68.5,Pass
STD046,7.0,91.8,42.2,88.7,91.0,Pass
STD047,3.8,66.0,67.9,58.4,71.6,Pass
STD048,5.7,59.3,72.6,35.7,65.0,Pass
STD049,5.9,52.0,57.2,89.3,89.6,Pass
STD050,2.7,79.5,75.4,40.5,68.7,Pass
STD051,9.7,83.9,41.8,54.2,85.9,Pass
STD052,8.0,50.8,42.2,92.0,90.2,Pass
STD053,9.5,75.6,89.4,92.0,100.0,Pass
STD054,9.1,61.3,61.6,69.4,95.2,Pass
STD055,6.4,82.3,47.6,72.9,76.4,Pass
STD056,9.3,58.7,71.3,61.9,91.2,Pass
STD057,1.8,84.5,86.2,52.6,69.3,Pass
STD058,2.8,69.3,52.9,54.7,49.5,Fail
STD059,1.4,96.8,77.4,75.4,65.8,Pass
STD060,3.9,56.9,45.1,80.1,56.7,Pass
STD061,4.5,67.1,43.1,82.5,70.9,Pass
STD062,3.4,55.7,71.9,82.4,74.3,Pass
STD063,8.5,96.2,72.4,40.5,94.2,Pass
STD064,4.2,93.9,78.2,64.7,78.9,Pass
STD065,3.5,62.9,83.6,38.5,68.1,Pass
STD066,5.9,83.0,98.6,68.0,81.0,Pass
